Disease,Description
Fungal infection,"Fungal infections or mycosis are diseases caused by a fungus (yeast or mold) Fungal infections are most common on your skin or nails  but fungi (plural of fungus) can also cause infections in your mouth throat lungs urinary tract and many other parts of your body.Fungal infections occur when harmful fungi invade the body, affecting skin (ringworm, athlete's foot), nails, mouth (thrush), lungs, or bloodstream. Common types include dermatophyte infections (itchy, scaly rashes), Candida (yeast causing oral/vaginal thrush), and Aspergillus (lung infections). Risk factors include weak immunity (HIV, diabetes), antibiotic use, and poor hygiene. Symptoms vary by type: skin infections cause redness/itching, while systemic infections lead to fever and fatigue. Treatment involves antifungal creams (clotrimazole), oral meds (fluconazole), or IV drugs for severe cases. Prevention includes keeping skin dry, avoiding contaminated surfaces, and managing underlying health conditions. Early treatment prevents complications."
Allergy,"An allergy is an overreaction of the immune system to harmless substances like pollen, dust, or certain foods. When exposed, the body releases histamines, causing symptoms such as sneezing, itching, rashes, or severe reactions like anaphylaxis. Common allergens include nuts, shellfish, pet dander, and insect stings. Diagnosis involves skin tests or blood work, and treatment includes antihistamines, steroids, or immunotherapy. Avoiding triggers is key to prevention. Severe cases may require emergency epinephrine. Allergies can develop at any age and range from mild discomfort to life-threatening conditions."
GERD,"GERD (Gastroesophageal Reflux Disease)GERD occurs when stomach acid frequently flows back into the esophagus, irritating its lining. This happens due to a weakened lower esophageal sphincter (LES). Symptoms include heartburn, regurgitation, chest pain, and difficulty swallowing. Risk factors include obesity, smoking, and acidic foods. Chronic GERD can lead to esophagitis, Barrett’s esophagus, or cancer. Treatment involves lifestyle changes (diet, weight loss), antacids, proton pump inhibitors (PPIs), or surgery in severe cases. Avoiding triggers like caffeine, alcohol, and large meals before bedtime helps manage symptoms."
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.Chronic cholestasis is a long-term reduction in bile flow from the liver, leading to bile buildup. Causes include liver diseases (cirrhosis, hepatitis), bile duct obstructions, or genetic disorders. Symptoms include jaundice (yellow skin), severe itching, dark urine, and fatty stool (steatorrhea). Complications may involve vitamin deficiencies and liver damage. Diagnosis requires blood tests, imaging, or liver biopsy. Treatment focuses on managing the underlying cause, medications like ursodeoxycholic acid, or surgery for blockages. Severe cases may require liver transplantation. Early intervention prevents irreversible liver damage."
Drug Reaction,"Drug Reaction occurs when the body reacts adversely to a medication.A drug reaction is an adverse response to medication, ranging from mild rashes to life-threatening anaphylaxis. Common culprits include antibiotics (penicillin), NSAIDs, and anticonvulsants. Symptoms may include hives, swelling, fever, or organ damage (e.g., liver toxicity). Severe reactions like Stevens-Johnson syndrome require emergency care. Diagnosis involves reviewing medication history and allergy testing. Treatment includes stopping the drug, antihistamines, steroids, or epinephrine for anaphylaxis. Prevention involves informing doctors of known allergies and using alternative medications when necessary. Pharmacogenomic testing can help predict reactions in some cases."
Peptic ulcer disease,"Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.Peptic ulcers are open sores in the stomach or small intestine lining, often caused by H. pylori infection or long-term NSAID use. Symptoms include burning stomach pain, bloating, nausea, or bleeding (black stools). Complications include perforation or obstruction. Diagnosis involves endoscopy, breath tests, or stool samples. Treatment includes antibiotics (for H. pylori), acid reducers (PPIs), and avoiding irritants like alcohol and smoking. Severe cases may require surgery. Lifestyle changes, such as stress management and a balanced diet, aid healing. Untreated ulcers can lead to serious internal bleeding."
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.AIDS is the final stage of HIV infection, where the immune system is severely damaged, making the body vulnerable to opportunistic infections (TB, pneumonia) and cancers (Kaposi’s sarcoma). HIV spreads via blood, sexual contact, or mother-to-child transmission. Symptoms include weight loss, chronic diarrhea, and recurrent infections. Diagnosis involves HIV antibody tests and viral load monitoring. While no cure exists, antiretroviral therapy (ART) controls the virus, prolonging life. Prevention includes safe sex, needle exchange programs, and PrEP (pre-exposure prophylaxis). Early treatment prevents progression to AIDS. Regular medical care is essential for managing health."
Diabetes,"Diabetes is a chronic condition that affects how the body processes blood sugar.Diabetes is a chronic condition where the body cannot properly regulate blood sugar due to insufficient insulin (Type 1) or insulin resistance (Type 2). Symptoms include excessive thirst, frequent urination, fatigue, and slow wound healing. Complications include nerve damage, kidney failure, and cardiovascular disease. Diagnosis involves blood glucose tests (A1C, fasting sugar). Management includes insulin injections, oral medications, diet control, and exercise. Type 2 can often be prevented with a healthy lifestyle. Uncontrolled diabetes leads to severe organ damage and life-threatening emergencies like diabetic ketoacidosis (DKA). Regular monitoring and medical care are crucial for long-term health."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.Gastroenteritis, or stomach flu, is inflammation of the stomach and intestines, usually caused by viruses (norovirus, rotavirus) or bacteria (E. coli, Salmonella). Symptoms include diarrhea, vomiting, cramps, and fever. Dehydration is a major risk, especially in children. Treatment focuses on hydration (oral rehydration solutions), rest, and bland foods. Severe cases may require IV fluids or antibiotics (for bacterial causes). Prevention includes handwashing, safe food handling, and vaccines (rotavirus). Most cases resolve in a few days, but persistent symptoms warrant medical attention to rule out serious infections."
Bronchial Asthma,"Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.Bronchial asthma is a chronic inflammatory disease of the airways, causing recurrent episodes of wheezing, breathlessness, chest tightness, and coughing. Triggers include allergens (pollen, dust mites), pollution, exercise, and stress. During an attack, airways narrow due to inflammation and muscle spasms, making breathing difficult. Diagnosis involves spirometry and peak flow tests. Treatment includes inhaled corticosteroids (long-term control) and bronchodilators (quick relief). Severe cases may require biologics. Avoiding triggers and using action plans help manage symptoms. Untreated asthma can lead to life-threatening attacks requiring emergency care."
