,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Drug Reaction,"stop irritation immediately, consult nearest hospital emergency room, stop taking the offending drug, follow up with prescribing physician, monitor for anaphylaxis symptoms, stay well hydrated, avoid sunlight if photosensitive reaction, inform doctor of all medications including supplements, keep a medication allergy card, apply cool compresses for rashes, take antihistamines for mild reactions, wear medical alert bracelet for severe allergies, avoid scratching affected areas, document reaction details for future reference"
1,Malaria,"consult nearest hospital with tropical disease expertise, avoid oily and heavy foods, avoid non-vegetarian food during recovery, keep mosquitos out with nets and screens, use CDC-recommended mosquito repellents, take prescribed antimalarials exactly as directed, complete full course of treatment, monitor for dark urine (sign of complications), stay in air-conditioned or well-screened areas, wear long-sleeved clothing at dusk/dawn, eliminate standing water near living spaces, take prophylactic medication when traveling to endemic zones, watch for cyclical fever patterns, report any neurological symptoms immediately"
2,Allergy,"apply calamine lotion to soothe skin, cover affected area with sterile bandage, use ice packs to compress itching areas, take oral antihistamines as prescribed, avoid known allergens completely, wear hypoallergenic clothing fabrics, keep emergency epinephrine auto-injector if history of anaphylaxis, install HEPA air filters at home, wash bedding weekly in hot water, keep a symptom diary to identify triggers, use fragrance-free personal care products, consider allergy immunotherapy for chronic cases, shower after outdoor allergen exposure, carry emergency contact information at all times"
3,Hypothyroidism,"reduce stress through meditation/yoga, exercise regularly but moderately, eat balanced diet rich in selenium/zinc, get 7-8 hours quality sleep nightly, take thyroid medication on empty stomach consistently, avoid soy products within 4 hours of medication, monitor TSH levels as directed, limit raw cruciferous vegetables, stay warm in cold environments, moisturize dry skin regularly, use stool softeners if constipated, attend all follow-up appointments, report any heart palpitations immediately, wear medical ID for severe cases"
4,Psoriasis,"wash hands with warm antibacterial soap, stop bleeding using gentle pressure, consult dermatologist for flare-ups, take therapeutic salt baths regularly, apply thick moisturizers after bathing, avoid skin injuries and sunburns, manage stress through counseling if needed, quit all tobacco products completely, limit alcohol consumption, consider UV light therapy options, take prescribed biologics exactly as directed, wear loose non-irritating clothing, join patient support groups, watch for psoriatic arthritis symptoms"
5,GERD,"avoid fatty/spicy/acidic foods completely, avoid lying down for 3 hours post-meals, maintain healthy BMI through diet/exercise, practice moderate daily physical activity, elevate head of bed 6-8 inches, eat smaller more frequent meals, limit caffeine/chocolate/mint intake, quit all tobacco products, wear loose-fitting clothing, chew sugarless gum after meals, take prescribed PPIs consistently, avoid bending over after eating, stay upright after nighttime snacks, keep food diary to identify triggers"
6,Chronic cholestasis,"take cool baths to relieve itching, use prescribed anti-itch medications properly, consult hepatologist regularly, eat liver-friendly low-fat diet, avoid all alcohol consumption completely, take water-soluble vitamin supplements, monitor for pale stools/dark urine, use fragrance-free gentle cleansers, keep nails short to prevent scratching damage, apply cool wet compresses to itchy areas, wear cotton gloves at night, report any yellowing eyes/skin immediately, attend all liver function monitoring appointments"
7,hepatitis A,"consult nearest hospital if symptoms severe, wash hands thoroughly after bathroom use, avoid all fatty/spicy foods during recovery, take prescribed medications as directed, get post-exposure prophylaxis if exposed, practice safe food handling always, avoid preparing food for others while infectious, get vaccinated if not immune, report any dark urine immediately, rest adequately during recovery, avoid all alcohol during illness, disinfect contaminated surfaces regularly, isolate personal care items, return for follow-up liver tests"
8,Osteoarthristis,"take acetaminophen as directed for pain, consult orthopedic specialist regularly, attend all follow-up appointments, take warm Epsom salt baths weekly, maintain healthy weight through diet, do low-impact exercises daily, use assistive devices as recommended, apply heat/cold therapy properly, attend physical therapy sessions, wear supportive shoes always, modify home to reduce joint strain, consider topical NSAIDs for localized pain, get adequate calcium/vitamin D, try aquatic therapy if available"
9,(vertigo) Paroymsal  Positional Vertigo,"lie down slowly during episodes, avoid sudden position changes, avoid abrupt head movements, practice relaxation techniques, perform Epley maneuver correctly, stay well hydrated daily, limit salt/caffeine/alcohol intake, use nightlights to prevent falls, install grab bars in bathroom, consider vestibular rehabilitation, drive only when symptom-free, keep emergency contact numbers handy, sit up slowly in the morning, avoid reading while in motion"
10,Hypoglycemia,"lie down on side if unconscious, check pulse/breathing regularly, drink fast-acting sugary drinks, consult endocrinologist promptly, carry glucose tablets always, eat small frequent balanced meals, monitor blood sugar as directed, wear medical alert identification, educate family on glucagon use, avoid skipping meals, limit alcohol consumption, keep snacks by bedside, adjust insulin carefully with exercise, report recurrent episodes immediately"
11,Acne,"bathe twice daily with gentle cleanser, avoid all fatty/spicy trigger foods, drink 8 glasses water daily, avoid excessive skincare products, use non-comedogenic makeup only, change pillowcases frequently, don't pick or squeeze pimples, manage stress effectively, use oil-free sunscreen daily, follow dermatologist's regimen strictly, avoid touching face throughout day, wash hair regularly if oily, consider dietary modifications, be patient with treatment results"
12,Diabetes ,"eat balanced low-glycemic index diet, exercise 30 minutes most days, consult endocrinologist quarterly, attend all follow-up screenings, monitor blood sugar as directed, inspect feet daily for injuries, stay well hydrated always, limit processed/refined carbs, take medications exactly as prescribed, carry fast-acting glucose sources, get annual eye exams, manage blood pressure/cholesterol, attend diabetes education classes, wear medical ID jewelry"
